"","ns","Value","Name","n_clus","clustering","level"
"2356","7_33",0.944955507865795,"UMAP_KMEANS_45-75",35,"UMAP_KMEANS_45",75
"2357","7_33",0.812613791623795,"tSNE_KMEANS_35-75",27,"tSNE_KMEANS_35",75
"2358","7_33",0.921531565945747,"tSNE_KMEANS_40-75",30,"tSNE_KMEANS_40",75
"2359","7_33",0.90327522374732,"tSNE_KMEANS_45-75",32,"tSNE_KMEANS_45",75
"2360","7_33",0.99382217035811,"sc3_40-80",40,"sc3_40",80
"2361","7_33",0.988355824526768,"sc3_45-80",45,"sc3_45",80
"2362","7_33",0.854127380967983,"UMAP_KMEANS_35-80",26,"UMAP_KMEANS_35",80
"2363","7_33",0.944955507865795,"UMAP_KMEANS_45-80",35,"UMAP_KMEANS_45",80
"2364","7_33",0.815928492278839,"tSNE_KMEANS_35-80",26,"tSNE_KMEANS_35",80
"2365","7_33",0.934586724477308,"tSNE_KMEANS_40-80",28,"tSNE_KMEANS_40",80
"2366","7_33",0.90327522374732,"tSNE_KMEANS_45-80",32,"tSNE_KMEANS_45",80
"2367","7_33",0.99382217035811,"sc3_40-85",40,"sc3_40",85
"2368","7_33",0.988355824526768,"sc3_45-85",45,"sc3_45",85
"2369","7_33",0.860753102359312,"UMAP_KMEANS_35-85",25,"UMAP_KMEANS_35",85
"2370","7_33",0.949489661744748,"UMAP_KMEANS_45-85",34,"UMAP_KMEANS_45",85
