"","sim","param","Value","Name","n_clus","clustering","level"
"sc3-80...286","Dataset_1","3_0.2",0.959263380682416,"sc3-80",40,"sc3",80
"X40-80...287","Dataset_1","3_0.2",0.933600111203201,"X40-80",24,"X40",80
"X40.1-80...288","Dataset_1","3_0.2",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...289","Dataset_1","3_0.2",0.603320262683704,"random_1-80",19,"random_1",80
"random_2-80...290","Dataset_1","3_0.2",0.592630652458844,"random_2-80",22,"random_2",80
"random_3-80...291","Dataset_1","3_0.2",0.601481735349489,"random_3-80",45,"random_3",80
"sc3-85...292","Dataset_1","3_0.2",0.959263380682416,"sc3-85",40,"sc3",85
"X40-85...293","Dataset_1","3_0.2",0.93756260906199,"X40-85",22,"X40",85
"X40.1-85...294","Dataset_1","3_0.2",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...295","Dataset_1","3_0.2",0.603320262683704,"random_1-85",19,"random_1",85
"random_2-85...296","Dataset_1","3_0.2",0.605126959340601,"random_2-85",19,"random_2",85
"random_3-85...297","Dataset_1","3_0.2",0.601481735349489,"random_3-85",45,"random_3",85
"sc3-90...298","Dataset_1","3_0.2",0.962696804962708,"sc3-90",39,"sc3",90
"X40-90...299","Dataset_1","3_0.2",0.950761112521031,"X40-90",19,"X40",90
"X40.1-90...300","Dataset_1","3_0.2",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...301","Dataset_1","3_0.2",0.603320262683704,"random_1-90",19,"random_1",90
